Subscription_ID,Customer_ID,Plan_Name,Plan_Type,Start_Date,End_Date,Monthly_Charges,Total_Revenue
SUB000001,CUST04677,Standard,Monthly,2020-01-01,2020-01-31,800,800
SUB000002,CUST17686,Standard,Monthly,2020-01-02,2020-02-01,800,800
SUB000003,CUST16468,Basic,Monthly,2020-01-03,2020-02-02,500,500
SUB000004,CUST09364,Premium,Monthly,2020-01-04,2020-02-03,1200,1200
SUB000005,CUST15102,Premium,Monthly,2020-01-05,2020-02-04,1200,1200
SUB000006,CUST14127,Basic,Monthly,2020-01-06,2020-02-05,500,500
SUB000007,CUST09136,Premium,Yearly,2020-01-07,2021-01-06,1200,14400
SUB000008,CUST04829,Basic,Yearly,2020-01-08,2021-01-07,500,6000
SUB000009,CUST15082,Premium,Monthly,2020-01-09,2020-02-08,1200,1200
SUB000010,CUST06680,Standard,Yearly,2020-01-10,2021-01-09,800,9600
SUB000011,CUST18171,Premium,Monthly,2020-01-11,2020-02-10,1200,1200
SUB000012,CUST14664,Standard,Monthly,2020-01-12,2020-02-11,800,800
SUB000013,CUST01761,Premium,Monthly,2020-01-13,2020-02-12,1200,1200
SUB000014,CUST05492,Standard,Monthly,2020-01-14,2020-02-13,800,800
SUB000015,CUST18615,Premium,Yearly,2020-01-15,2021-01-14,1200,14400
SUB000016,CUST01983,Standard,Monthly,2020-01-16,2020-02-15,800,800
SUB000017,CUST12090,Premium,Yearly,2020-01-17,2021-01-16,1200,14400
SUB000018,CUST06554,Basic,Yearly,2020-01-18,2021-01-17,500,6000
SUB000019,CUST06865,Premium,Monthly,2020-01-19,2020-02-18,1200,1200
SUB000020,CUST00357,Standard,Monthly,2020-01-20,2020-02-19,800,800
SUB000021,CUST11355,Basic,Monthly,2020-01-21,2020-02-20,500,500
SUB000022,CUST04952,Basic,Monthly,2020-01-22,2020-02-21,500,500
SUB000023,CUST10894,Standard,Monthly,2020-01-23,2020-02-22,800,800
SUB000024,CUST13710,Basic,Yearly,2020-01-24,2021-01-23,500,6000
SUB000025,CUST02312,Standard,Monthly,2020-01-25,2020-02-24,800,800
SUB000026,CUST10969,Basic,Monthly,2020-01-26,2020-02-25,500,500
SUB000027,CUST19629,Premium,Monthly,2020-01-27,2020-02-26,1200,1200
SUB000028,CUST06885,Standard,Monthly,2020-01-28,2020-02-27,800,800
SUB000029,CUST11523,Basic,Monthly,2020-01-29,2020-02-28,500,500
SUB000030,CUST00365,Basic,Monthly,2020-01-30,2020-02-29,500,500
SUB000031,CUST07563,Standard,Yearly,2020-01-31,2021-01-30,800,9600
SUB000032,CUST12297,Standard,Monthly,2020-02-01,2020-03-02,800,800
SUB000033,CUST03332,Standard,Yearly,2020-02-02,2021-02-01,800,9600
SUB000034,CUST00113,Basic,Monthly,2020-02-03,2020-03-04,500,500
SUB000035,CUST11983,Basic,Monthly,2020-02-04,2020-03-05,500,500
SUB000036,CUST10715,Premium,Monthly,2020-02-05,2020-03-06,1200,1200
SUB000037,CUST13490,Standard,Monthly,2020-02-06,2020-03-07,800,800
SUB000038,CUST09040,Premium,Monthly,2020-02-07,2020-03-08,1200,1200
SUB000039,CUST15864,Standard,Yearly,2020-02-08,2021-02-07,800,9600
SUB000040,CUST18914,Basic,Yearly,2020-02-09,2021-02-08,500,6000
SUB000041,CUST09862,Standard,Yearly,2020-02-10,2021-02-09,800,9600
SUB000042,CUST07685,Premium,Monthly,2020-02-11,2020-03-12,1200,1200
SUB000043,CUST14521,Premium,Monthly,2020-02-12,2020-03-13,1200,1200
SUB000044,CUST08152,Basic,Monthly,2020-02-13,2020-03-14,500,500
SUB000045,CUST16094,Premium,Yearly,2020-02-14,2021-02-13,1200,14400
SUB000046,CUST13004,Premium,Monthly,2020-02-15,2020-03-16,1200,1200
SUB000047,CUST08773,Basic,Monthly,2020-02-16,2020-03-17,500,500
SUB000048,CUST08568,Premium,Yearly,2020-02-17,2021-02-16,1200,14400
SUB000049,CUST15015,Basic,Monthly,2020-02-18,2020-03-19,500,500
SUB000050,CUST19362,Basic,Monthly,2020-02-19,2020-03-20,500,500
